,total,chk_3,chk_4,ratio3
8c6459da,,,,
86a85e77,,,,
a8b26d7e,,,,
c8350f89,,,,
1b26481d,,,,
00fc9699,,,,
78b83c33,,,,
26bf415a,,,,
45abcfe4,,,,
05d7670b,,,,
802ec85f,,,,
a8c081c0,,,,
5c1dd494,,,,
72f51e04,,,,
435942cb,,,,
5ab79fa3,,,,
3bc6be0c,,,,
fce99bda,,,,
a5f31be6,,,,
a413b499,,,,
e910df7a,,,,
870150f1,,,,
eb788f70,,,,
2c06b9d3,,,,
fd6408e8,,,,
ec71eeb8,,,,
f507acb5,,,,
8898b8a3,,,,
553a4e9f,,,,
c053fbff,,,,
b2c9f52e,,,,
775a4024,,,,
1abe0bac,,,,
16d2e376,,,,
2ce26592,,,,
d921dc24,,,,
2005ffaf,,,,
65f48bed,,,,
d2a6c2b9,,,,
9c231f1c,,,,
44fd3134,,,,
2639ca93,,,,
2a4cfce8,,,,
366c3ced,,,,
16d06fce,,,,
041e0a56,,,,
62640025,,,,
67ac8514,,,,
91748b0d,,,,
5a19bb4c,,,,
e06f5189,,,,
76ec1d85,,,,
4fb9eb49,,,,
8bd83670,,,,
40eaadd4,,,,
a536f949,,,,
e9358257,,,,
52ba4d64,,,,
c23e0905,,,,
5faa0266,,,,
c49d315f,,,,
d127c796,,,,
7529b771,,,,
345aefaa,,,,
701de9c2,,,,
b63cd646,,,,
3fd20dad,,,,
0a9b7790,,,,
019261b7,,,,
60e9db24,,,,
1d8b0693,,,,
0d32bb3a,,,,
9608972c,,,,
efb6e78e,,,,
88ca7e4f,,,,
f6cc2959,,,,
3fe38c5a,,,,
5d2e508a,,,,
569b942c,,,,
98967408,,,,
58f49120,,,,
f90fc433,,,,
63ab6896,,,,
1ed0ddb1,,,,
379f4d05,,,,
15df1990,,,,
3468477b,,,,
0d0282b9,,,,
b98810fd,,,,
07016bcb,,,,
a792a247,,,,
d3f17206,,,,
ba54b2d9,,,,
35cf767b,,,,
5e5bb2e5,,,,
f1e872ef,,,,
d5bd1cf8,,,,
c4943925,,,,
d48e150c,,,,
c6a939fe,,,,
3639f84d,,,,
19f83304,,,,
3af35e7d,,,,
9d328045,,,,
3392bb48,,,,
cc687df6,,,,
10c979f1,,,,
351bb2f5,,,,
859f5a42,,,,
d47189ff,,,,
285b5042,,,,
50af7cd4,,,,
439e30ab,,,,
2654e7cf,,,,
e536637f,,,,
ed49d0d8,,,,
642a104e,,,,
